"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"ok#positive";"1";"3";"3";"ok";"N";"ok#3"
"démodé#negative";"1";"2";"2";"démodé";"V";"démodé#2"
"exceptionnel#strongpositive";"1";"2";"2";"exceptionnel";"G";"exceptionnel#2"
"neuves#positive";"1";"2";"2";"neuves";"P";"neuves#2"
"soigné#positive";"1";"2";"2";"soigner";"V";"soigné#2"
"sérieux#positive";"1";"2";"2";"sérieux";"G";"sérieux#2"
"discret#positive";"1";"2";"2";"discret";"G";"discret#2"
"sublime#strongpositive";"1";"2";"2";"sublime";"G";"sublime#2"
"minuscules#strongnegative";"1";"2";"2";"minuscule";"G";"minuscules#2"
"vieillissant#negative";"1";"2";"2";"vieillir";"G";"vieillissant#2"
"correctes#positive";"1";"2";"2";"correct";"G";"correctes#2"
"exceptionnelle#strongpositive";"1";"2";"2";"exceptionnel";"G";"exceptionnelle#2"
"déception#strongnegative";"1";"2";"2";"déception";"N";"déception#2"
"moyennes#negative";"1";"2";"2";"moyen";"G";"moyennes#2"
"enviagerais#positive";"1";"1";"1";"enviagerais";"G";"enviagerais#1"
"coquet#positive";"1";"1";"1";"coquet";"G";"coquet#1"
"abdo#positive";"1";"1";"1";"abdo";"V";"abdo#1"
"exellent#strongpositive";"1";"1";"1";"exellent";"G";"exellent#1"
"reposantes#positive";"1";"1";"1";"reposant";"G";"reposantes#1"
"pédalo#positive";"1";"1";"1";"pédalo";"N";"pédalo#1"
"formidable#strongpositive";"1";"1";"1";"FORMIDABLE";"N";"formidable#1"
"agrandi#positive";"1";"1";"1";"agrandi";"N";"agrandi#1"
"quelconque#negative";"1";"1";"1";"quelconque";"P";"quelconque#1"
"ideale#strongpositive";"1";"1";"1";"ideale";"G";"ideale#1"
"sains#positive";"1";"1";"1";"sain";"G";"sains#1"
"hypocrisie#negative";"1";"1";"1";"hypocrisie";"N";"hypocrisie#1"
"tbon#strongpositive";"1";"1";"1";"tbon";"G";"tbon#1"
"nombreuse#strongpositive";"1";"1";"1";"nombreuse";"D";"nombreuse#1"
"respectueuse#positive";"1";"1";"1";"respectueuse";"N";"respectueuse#1"
"grandiose#positive";"1";"1";"1";"grandiose";"N";"grandiose#1"
"radinisme#negative";"1";"1";"1";"Radinisme";"N";"radinisme#1"
"personnesvieux#negative";"1";"1";"1";"personnesvieux";"G";"personnesvieux#1"
"felicite#positive";"1";"1";"1";"felicite";"V";"felicite#1"
"gentillesse#positive";"1";"1";"1";"gentillesse";"G";"gentillesse#1"
"sacrés#positive";"1";"1";"1";"sacrer";"V";"sacrés#1"
"enormément#negative";"1";"1";"1";"Enormément";"G";"enormément#1"
"exeptionelles#strongpositive";"1";"1";"1";"exeptionelles";"G";"exeptionelles#1"
"conforme#positive";"1";"1";"1";"conforme";"G";"conforme#1"
"glacial#strongnegative";"1";"1";"1";"glacial";"G";"glacial#1"
"virtuelle#negative";"1";"1";"1";"virtuelle";"N";"virtuelle#1"
"microscopiques#negative";"1";"1";"1";"microscopique";"G";"microscopiques#1"
"catastrophique.ce#strongnegative";"1";"1";"1";"catastrophique.Ce";"N";"catastrophique.ce#1"
"abimé#negative";"1";"1";"1";"abimé";"V";"abimé#1"
"fessier#positive";"1";"1";"1";"fessier";"V";"fessier#1"
"silencieux#negative";"1";"1";"1";"silencieux";"G";"silencieux#1"
"long.#negative";"1";"1";"1";"long.";"N";"long.#1"
"zumba#positive";"1";"1";"1";"zumba";"N";"zumba#1"
"infatiguable.les#strongpositive";"1";"1";"1";"infatiguable.les";"D";"infatiguable.les#1"
"choisirons#positive";"1";"1";"1";"choisirons";"N";"choisirons#1"
"impecables#positive";"1";"1";"1";"impecables";"G";"impecables#1"
"défoncé#negative";"1";"1";"1";"défoncer";"V";"défoncé#1"
"fixes#positive";"1";"1";"1";"fixe";"G";"fixes#1"
"exellente#strongpositive";"1";"1";"1";"exellente";"G";"exellente#1"
"honorable#positive";"1";"1";"1";"honorable";"G";"honorable#1"
"terrasses#positive";"1";"1";"1";"terrasse";"N";"terrasses#1"
"attentionnée#positive";"1";"1";"1";"attentionnée";"N";"attentionnée#1"
"avantageuse#positive";"1";"1";"1";"avantageux";"G";"avantageuse#1"
"luxures#strongpositive";"1";"1";"1";"luxure";"N";"luxures#1"
"modique#positive";"1";"1";"1";"modique";"G";"modique#1"
"infecte#negative";"1";"1";"1";"infect";"G";"infecte#1"
"géniale#strongpositive";"1";"1";"1";"géniale";"N";"géniale#1"
"usé#negative";"1";"1";"1";"user";"V";"usé#1"
"gargantuesque#positive";"1";"1";"1";"gargantuesque";"N";"gargantuesque#1"
"jolies#positive";"1";"1";"1";"joli";"G";"jolies#1"
"accueillant.#positive";"1";"1";"1";"accueillant.";"V";"accueillant.#1"
"remplie#positive";"1";"1";"1";"remplir";"V";"remplie#1"
"écœurants#strongnegative";"1";"1";"1";"écœurants";"G";"écœurants#1"
"entassés#negative";"1";"1";"1";"entasser";"V";"entassés#1"
"spècial#negative";"1";"1";"1";"spècial";"G";"spècial#1"
"excellent.#strongpositive";"1";"1";"1";"excellent.";"G";"excellent.#1"
"détruit#negative";"1";"1";"1";"détruire";"V";"détruit#1"
"diversifie#positive";"1";"1";"1";"diversifier";"V";"diversifie#1"
"normal.aucunes#negative";"1";"1";"1";"normal.Aucunes";"G";"normal.aucunes#1"
"dépanné#negative";"1";"1";"1";"dépanner";"V";"dépanné#1"
"étroite#negative";"1";"1";"1";"étroit";"G";"étroite#1"
"excellente.#strongpositive";"1";"1";"1";"excellente.";"P";"excellente.#1"
"arrangeante.la#positive";"1";"1";"1";"arrangeante.La";"D";"arrangeante.la#1"
"panoramique#strongpositive";"1";"1";"1";"panoramique";"G";"panoramique#1"
"active#positive";"1";"1";"1";"actif";"G";"active#1"
"tranquiles#positive";"1";"1";"1";"tranquiles";"G";"tranquiles#1"
"coulent#negative";"1";"1";"1";"couler";"V";"coulent#1"
"fuites#negative";"1";"1";"1";"fuite";"N";"fuites#1"
"corrects#positive";"1";"1";"1";"corrects";"P";"corrects#1"
"poils#strongnegative";"1";"1";"1";"poils";"G";"poils#1"
"pénible#negative";"1";"1";"1";"pénible";"G";"pénible#1"
"reverai#positive";"1";"1";"1";"reverai";"V";"reverai#1"
"soupçonneux#negative";"1";"1";"1";"soupçonneux";"G";"soupçonneux#1"
"médiocres#negative";"1";"1";"1";"médiocre";"G";"médiocres#1"
"somptieux#positive";"1";"1";"1";"somptieux";"G";"somptieux#1"
"tops#positive";"1";"1";"1";"tops";"G";"tops#1"
"boutique#positive";"1";"1";"1";"boutique";"N";"boutique#1"
"innombrables#positive";"1";"1";"1";"innombrables";"D";"innombrables#1"
"violet#negative";"1";"1";"1";"violet";"G";"violet#1"
"appétissant#strongpositive";"1";"1";"1";"appétissant";"V";"appétissant#1"
"accueillants#positive";"1";"1";"1";"accueillant";"G";"accueillants#1"
"express#positive";"1";"1";"1";"express";"V";"express#1"
"bidet#positive";"1";"1";"1";"bidet";"N";"bidet#1"
"invisible#strongnegative";"1";"1";"1";"invisible";"G";"invisible#1"
"attentionné#positive";"1";"1";"1";"attentionné";"V";"attentionné#1"
"spatieuses#strongpositive";"1";"1";"1";"spatieuses";"G";"spatieuses#1"
"simpatique#positive";"1";"1";"1";"simpatique";"G";"simpatique#1"
"spacieuses.nécessaire#positive";"1";"1";"1";"spacieuses.nécessaire";"N";"spacieuses.nécessaire#1"
"interdite#negative";"1";"1";"1";"interdit";"N";"interdite#1"
"lumineuse#positive";"1";"1";"1";"lumineuse";"N";"lumineuse#1"
"steps#positive";"1";"1";"1";"steps";"G";"steps#1"
"merveilleuse#strongpositive";"1";"1";"1";"merveilleux";"G";"merveilleuse#1"
"déchiré#negative";"1";"1";"1";"déchirer";"V";"déchiré#1"
"tâchée#positive";"1";"1";"1";"tâcher";"V";"tâchée#1"
"miteuse#strongnegative";"1";"1";"1";"miteuse";"G";"miteuse#1"
"massages#positive";"1";"1";"1";"massage";"N";"massages#1"
"pseudo#negative";"1";"1";"1";"pseudo";"N";"pseudo#1"
"recommandons#positive";"1";"1";"1";"recommander";"V";"recommandons#1"
"splendide#strongpositive";"1";"1";"1";"splendide";"G";"splendide#1"
"familiere#positive";"1";"1";"1";"familiere";"G";"familiere#1"
"irréprochables#strongpositive";"1";"1";"1";"irréprochable";"G";"irréprochables#1"
"ravi#strongpositive";"1";"1";"1";"ravir";"G";"ravi#1"
"inclu#positive";"1";"1";"1";"inclure";"V";"inclu#1"
"qualifiés#positive";"1";"1";"1";"qualifier";"G";"qualifiés#1"
"méchante#negative";"1";"1";"1";"méchant";"G";"méchante#1"
"animés#positive";"1";"1";"1";"animer";"V";"animés#1"
"parfaite#strongpositive";"1";"1";"1";"parfait";"G";"parfaite#1"
"seduit#strongpositive";"1";"1";"1";"seduit";"V";"seduit#1"
"climatisées#positive";"1";"1";"1";"climatiser";"V";"climatisées#1"
"dormage#negative";"1";"1";"1";"dormage";"N";"dormage#1"
"chére#negative";"1";"1";"1";"chére";"P";"chére#1"
"inadéquate#negative";"1";"1";"1";"inadéquate";"V";"inadéquate#1"
"convenait#positive";"1";"1";"1";"convenir";"V";"convenait#1"
"adorée#strongpositive";"1";"1";"1";"adorer";"V";"adorée#1"
"enlevé#negative";"1";"1";"1";"enlever";"V";"enlevé#1"
"auun#negative";"1";"1";"1";"auun";"P";"auun#1"
"titanesque#positive";"1";"1";"1";"Titanesque";"C";"titanesque#1"
"bon.les#positive";"1";"1";"1";"bon.Les";"D";"bon.les#1"
"reduite#negative";"1";"1";"1";"reduite";"V";"reduite#1"
"impecable#strongpositive";"1";"1";"1";"impecable";"G";"impecable#1"
"insuffisantes#negative";"1";"1";"1";"insuffisant";"G";"insuffisantes#1"
"divertissant.#positive";"1";"1";"1";"divertissant.";"N";"divertissant.#1"
"géniaux#strongpositive";"1";"1";"1";"génial";"G";"géniaux#1"
"bouché#negative";"1";"1";"1";"boucher";"V";"bouché#1"
"imbattable#strongpositive";"1";"1";"1";"imbattable";"G";"imbattable#1"
"attentifs#positive";"1";"1";"1";"attentifs";"N";"attentifs#1"
"inadaptés#negative";"1";"1";"1";"inadapté";"G";"inadaptés#1"
"chers#negative";"1";"1";"1";"cher";"G";"chers#1"
"inutilisable#negative";"1";"1";"1";"inutilisable";"G";"inutilisable#1"
"épuré#positive";"1";"1";"1";"épuré";"N";"épuré#1"
"fades#negative";"1";"1";"1";"fade";"N";"fades#1"
"étroites#negative";"1";"1";"1";"étroit";"G";"étroites#1"
"minables#negative";"1";"1";"1";"minable";"G";"minables#1"
"obséquieux#negative";"1";"1";"1";"obséquieux";"G";"obséquieux#1"
"défectueuses#strongnegative";"1";"1";"1";"défectueux";"G";"défectueuses#1"
"viandes#positive";"1";"1";"1";"viande";"N";"viandes#1"
"petit.#negative";"1";"1";"1";"petit.";"P";"petit.#1"
"minimaliste#negative";"1";"1";"1";"minimaliste";"N";"minimaliste#1"
"supers#strongpositive";"1";"1";"1";"Supers";"P";"supers#1"
"vétustes#negative";"1";"1";"1";"vétuste";"G";"vétustes#1"
"multilingue#positive";"1";"1";"1";"multilingue";"G";"multilingue#1"
"génialissime#strongpositive";"1";"1";"1";"Génialissime";"N";"génialissime#1"
"attentif#positive";"1";"1";"1";"attentif";"G";"attentif#1"
"aborde#positive";"1";"1";"1";"aborder";"V";"aborde#1"
"froides#negative";"1";"1";"1";"froid";"G";"froides#1"
"hallucinante#strongnegative";"1";"1";"1";"hallucinant";"G";"hallucinante#1"
"hamonie#positive";"1";"1";"1";"Hamonie";"N";"hamonie#1"
"impecables.l'#strongpositive";"1";"1";"1";"impecables.L'";"G";"impecables.l'#1"
"dynamique#positive";"1";"1";"1";"dynamique";"G";"dynamique#1"
"aimé#positive";"1";"1";"1";"aimer";"V";"aimé#1"
"agéable#positive";"1";"1";"1";"agéable";"G";"agéable#1"
"payantes.extrêment#negative";"1";"1";"1";"payantes.extrêment";"V";"payantes.extrêment#1"
"maque#negative";"1";"1";"1";"maque";"N";"maque#1"
"yes#positive";"1";"1";"1";"yes";"N";"yes#1"
"plaisirs#positive";"1";"1";"1";"plaisir";"N";"plaisirs#1"
"formidables#strongpositive";"1";"1";"1";"formidable";"G";"formidables#1"
"critique#negative";"1";"1";"1";"critiquer";"V";"critique#1"
"démocratique#positive";"1";"1";"1";"démocratique";"G";"démocratique#1"
"conseillons#positive";"1";"1";"1";"conseiller";"V";"conseillons#1"
"relaxant#positive";"1";"1";"1";"relaxant";"G";"relaxant#1"
"delicieux.#strongpositive";"1";"1";"1";"delicieux.";"V";"delicieux.#1"
"payante#negative";"1";"1";"1";"payant";"G";"payante#1"
"festif#positive";"1";"1";"1";"festif";"G";"festif#1"
"adoré#positive";"1";"1";"1";"adorer";"V";"adoré#1"
"désagreable#strongnegative";"1";"1";"1";"désagreable";"G";"désagreable#1"
"parfait.#strongpositive";"1";"1";"1";"parfait.";"G";"parfait.#1"
"brisée#negative";"1";"1";"1";"briser";"V";"brisée#1"
"prevenant#positive";"1";"1";"1";"prevenant";"G";"prevenant#1"
"tresserviable.#strongpositive";"1";"1";"1";"tresserviable.";"V";"tresserviable.#1"
"troublée#negative";"1";"1";"1";"troublée";"N";"troublée#1"
"diversité#positive";"1";"1";"1";"diversité";"N";"diversité#1"
"exception#strongpositive";"1";"1";"1";"exception";"N";"exception#1"
"propre.#positive";"1";"1";"1";"propre.";"G";"propre.#1"
"adorables#strongpositive";"1";"1";"1";"adorable";"G";"adorables#1"
"exiguës#negative";"1";"1";"1";"exigu";"G";"exiguës#1"
"delighted#strongpositive";"1";"1";"1";"delighted";"D";"delighted#1"
"vieillote#negative";"1";"1";"1";"vieillote";"G";"vieillote#1"
"déplorables#negative";"1";"1";"1";"déplorables";"N";"déplorables#1"
"diversifiés.#positive";"1";"1";"1";"diversifiés.";"V";"diversifiés.#1"
"meillieur#strongpositive";"1";"1";"1";"meillieur";"G";"meillieur#1"
"abordable#positive";"1";"1";"1";"abordable";"G";"abordable#1"
"vastes#positive";"1";"1";"1";"vaste";"G";"vastes#1"
"agréable#positive";"0";"38";"78";"agréable";"G";"agréable#78"
"propre#positive";"0";"30";"60";"propre";"G";"propre#60"
"bon#positive";"0";"30";"149";"bon";"G";"bon#149"
