"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"unfriendly#negative";"1";"5";"5";"unfriendly";"G";"unfriendly#5"
"delicious#strongpositive";"1";"4";"4";"delicious";"G";"delicious#4"
"smelly#negative";"1";"4";"4";"smelly";"N";"smelly#4"
"awesome#strongpositive";"1";"3";"3";"awesome";"G";"awesome#3"
"superb#strongpositive";"1";"3";"3";"superb";"G";"superb#3"
"cracked#negative";"1";"2";"2";"cracked";"G";"cracked#2"
"hip#positive";"1";"2";"2";"Hip";"R";"hip#2"
"tasteful#positive";"1";"2";"2";"tasteful";"G";"tasteful#2"
"ordinary#negative";"1";"2";"2";"ordinary";"G";"ordinary#2"
"understanding#positive";"1";"2";"2";"understanding";"G";"understanding#2"
"fabulous#strongpositive";"1";"2";"2";"fabulous";"G";"fabulous#2"
"weird#negative";"1";"2";"2";"weird";"G";"weird#2"
"quick#positive";"1";"2";"2";"quick";"G";"quick#2"
"funny#positive";"1";"2";"2";"funny";"G";"funny#2"
"accepts#positive";"1";"2";"2";"accept";"V";"accepts#2"
"functional#positive";"1";"2";"2";"functional";"G";"functional#2"
"stylish#positive";"1";"2";"2";"stylish";"G";"stylish#2"
"grey#negative";"1";"2";"2";"grey";"G";"grey#2"
"fantasic#strongpositive";"1";"2";"2";"fantasic";"G";"fantasic#2"
"ample#positive";"1";"2";"2";"ample";"G";"ample#2"
"edible#positive";"1";"2";"2";"edible";"G";"edible#2"
"fine.#positive";"1";"1";"1";"fine.";"V";"fine.#1"
"profession#positive";"1";"1";"1";"profession";"N";"profession#1"
"noises#negative";"1";"1";"1";"noise";"N";"noises#1"
"spectacular#strongpositive";"1";"1";"1";"spectacular";"G";"spectacular#1"
"inedible#negative";"1";"1";"1";"inedible";"G";"inedible#1"
"sewer#negative";"1";"1";"1";"sewer";"G";"sewer#1"
"thick#negative";"1";"1";"1";"thick";"G";"thick#1"
"missed#negative";"1";"1";"1";"miss";"V";"missed#1"
"disappointed#negative";"1";"1";"1";"disappointed";"G";"disappointed#1"
"hushed#positive";"1";"1";"1";"hush";"V";"hushed#1"
"creaky#negative";"1";"1";"1";"creaky";"G";"creaky#1"
"superfriendly#strongpositive";"1";"1";"1";"superfriendly";"A";"superfriendly#1"
"exceptional#strongpositive";"1";"1";"1";"exceptional";"G";"exceptional#1"
"unacceptable#strongnegative";"1";"1";"1";"unacceptable";"G";"unacceptable#1"
"spoilt#positive";"1";"1";"1";"spoilt";"G";"spoilt#1"
"upscale#positive";"1";"1";"1";"upscale";"G";"upscale#1"
"ineffecient#negative";"1";"1";"1";"ineffecient";"G";"ineffecient#1"
"spacy#positive";"1";"1";"1";"spacy";"N";"spacy#1"
"destroyed#negative";"1";"1";"1";"destroy";"V";"destroyed#1"
"exposed#negative";"1";"1";"1";"exposed";"G";"exposed#1"
"exceeded#positive";"1";"1";"1";"exceed";"V";"exceeded#1"
"minuscule#strongnegative";"1";"1";"1";"minuscule";"G";"minuscule#1"
"pleasant.#positive";"1";"1";"1";"pleasant.";"N";"pleasant.#1"
"applied#positive";"1";"1";"1";"apply";"V";"applied#1"
"delightful#strongpositive";"1";"1";"1";"delightful";"G";"delightful#1"
"thin#negative";"1";"1";"1";"thin";"G";"thin#1"
"welcomes#positive";"1";"1";"1";"welcome";"V";"welcomes#1"
"gratis#positive";"1";"1";"1";"gratis";"N";"gratis#1"
"candy#positive";"1";"1";"1";"candy";"N";"candy#1"
"diabolical#strongnegative";"1";"1";"1";"diabolical";"N";"diabolical#1"
"sizeable#positive";"1";"1";"1";"sizeable";"G";"sizeable#1"
